ABIA
ADAMAWA
AKWA-IBOM
ANAMBRA
BAUCHI
BAYELSA
BENUE
BORNO
CROSS-RIVER
DELTA
EBONYI
EDO
EKITI
ENUGU
GOMBE
IMO
JIGAWA
KADUNA
KANO
KATSINA
KEBBI
KOGI
KWARA
LAGOS
NIGER
OGUN
ONDO
OSUN
OYO
PLATEAU
RIVERS
SOKOTO
TARABA
YOBE
ZAMFARA
